symbol,publishdate(min),nav_cur4
000009,20170702,2.3845
000009,20170703,1.1011
000009,20170704,1.1527
000009,20170705,1.115
000009,20170706,1.1727
000009,20170707,1.128
000009,20170709,2.3191
000009,20170710,1.1568
000009,20170711,1.1381
000009,20170712,1.1399
000009,20170713,1.1382
000009,20170714,1.1344
000009,20170716,2.2646
000009,20170717,1.1362
000009,20170718,1.1405
000009,20170719,1.1361
000009,20170720,1.1437
000009,20170721,1.1472
000009,20170723,2.27
000009,20170724,1.1435
000009,20170725,1.1425
000009,20170726,1.1423
000009,20170727,1.1915
000009,20170728,1.0202
000009,20170730,2.2886
000009,20170731,1.1063
000009,20170801,1.137
000009,20170802,1.1427
000009,20170803,1.1386
000009,20170804,1.0507
000009,20170806,2.2611
000009,20170807,1.1285
000009,20170808,1.1213
000009,20170809,1.1205
000009,20170810,1.0584
000009,20170811,1.1113
000009,20170813,2.2195
000009,20170814,1.1092
000009,20170815,1.1178
000009,20170816,1.1014
000009,20170817,1.0712
000009,20170818,1.0534
000009,20170820,2.2484
000009,20170821,1.0752
000009,20170822,1.0906
000009,20170823,1.1223
000009,20170824,1.1249
000009,20170825,1.0484
000009,20170827,2.2447
000009,20170828,1.0808
000009,20170829,1.0846
000009,20170830,1.1492
000009,20170831,1.1007
000009,20170901,1.0488
000009,20170903,2.2923
000009,20170904,1.0803
000009,20170905,1.1239
000009,20170906,1.0935
000009,20170907,1.094
000009,20170908,1.0397
000009,20170910,2.2398
000009,20170911,1.1056
000009,20170912,1.0676
000009,20170913,1.1103
000009,20170914,1.1099
000009,20170915,1.1208
000009,20170917,2.2385
000009,20170918,1.0705
000009,20170919,1.0502
000009,20170920,1.0979
000009,20170921,1.0503
000009,20170922,1.1018
000009,20170924,2.1681
000009,20170925,1.0988
000009,20170926,1.093
000009,20170927,1.0688
000009,20170929,1.068
000009,20171008,9.6267
000009,20171009,1.1578
000009,20171010,1.0883
000009,20171011,1.1202
000009,20171012,1.1447
000009,20171013,1.0914
000009,20171015,2.1611
000009,20171016,1.1068
000009,20171017,1.0896
000009,20171018,1.0822
000009,20171019,1.0609
000009,20171020,1.0526
000009,20171022,2.0962
000009,20171023,1.0492
000009,20171024,1.045
000009,20171025,1.0499
000009,20171026,1.0545
000009,20171027,1.0576
000009,20171029,2.1158
000009,20171030,1.0697
000009,20171031,1.0679
000009,20171101,1.0799
000009,20171102,1.093
000009,20171103,1.1001
000009,20171105,2.1991
000009,20171106,1.0826
000009,20171107,1.0889
000009,20171108,1.1044
000009,20171109,1.0883
000009,20171110,1.0811
000009,20171112,2.1596
000009,20171113,1.0818
000009,20171114,1.0789
000009,20171115,1.0805
000009,20171116,1.0833
000009,20171117,1.0838
000009,20171119,2.1651
000009,20171120,1.0971
000009,20171121,1.1094
000009,20171122,1.1003
000009,20171123,1.1005
000009,20171124,1.0949
000009,20171126,2.1918
000009,20171127,1.1005
000009,20171128,1.0817
000009,20171129,1.0499
000009,20171201,1.1218
000009,20171203,2.2363
000009,20171204,1.1297
000009,20171205,1.1298
000009,20171206,1.1383
000009,20171207,1.1381
000009,20171208,1.1282
000009,20171029,2.1158000000000001
000009,20171030,1.0697000000000001
000009,20171031,1.0679000000000001
000009,20171101,1.0799000000000001
000009,20171103,1.1001000000000001
000009,20171105,2.1991000000000001
000009,20171110,1.0810999999999999
000009,20171112,2.1596000000000002
000009,20171113,1.0818000000000001
000009,20171116,1.0832999999999999
000009,20171117,1.0838000000000001
000009,20171119,2.1650999999999998
000009,20171121,1.1093999999999999
000009,20171122,1.1003000000000001
000009,20171126,2.1918000000000002
000009,20171128,1.0817000000000001
000009,20171129,1.0499000000000001
000009,20171201,1.1217999999999999
000009,20171204,1.1296999999999999
000009,20171205,1.1297999999999999
000009,20171206,1.1383000000000001
000009,20171207,1.1380999999999999
000009,20171208,1.1282000000000001
000009,20171210,2.2568000000000001
000009,20171211,1.1258999999999999
000009,20171212,1.1315
000009,20171213,1.1201000000000001
000009,20171214,1.125
000009,20171215,1.0708
000009,20171217,2.2208999999999999
000009,20171218,1.1128
000009,20171219,1.1126
000009,20171220,1.1235999999999999
000009,20171221,1.1428
000009,20171222,1.1202000000000001
000009,20171224,2.2444999999999999
000009,20171225,1.1407
000009,20171226,1.1493
000009,20171227,1.1333
000009,20171228,1.2561
000009,20171229,1.1492
000009,20171231,2.3300999999999998
000009,20180102,1.1914
000010,20170702,2.516
000010,20170703,1.1678
000010,20170704,1.2159
000010,20170705,1.1802
000010,20170706,1.2372
000010,20170707,1.1929
000010,20170709,2.4506
000010,20170710,1.2218
000010,20170711,1.203
000010,20170712,1.2053
000010,20170713,1.2035
000010,20170714,1.1994
000010,20170716,2.3962
000010,20170717,1.2013
000010,20170718,1.206
000010,20170719,1.2014
000010,20170720,1.2089
000010,20170721,1.2119
000010,20170723,2.4015
000010,20170724,1.2085
000010,20170725,1.208
000010,20170726,1.2071
000010,20170727,1.2564
000010,20170728,1.0852
