用户序号,日期,基金代码,基金名称,配置比例
1,2017-07-03,050003,博时现金收益证券投资基金A级,0.4
1,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.4
1,2017-07-03,160505,博时主题行业混合型证券投资基金,0.2
2,2017-07-03,050003,博时现金收益证券投资基金A级,0.4
2,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.4
2,2017-07-03,160505,博时主题行业混合型证券投资基金,0.2
3,2017-07-03,050003,博时现金收益证券投资基金A级,0.4
3,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.4
3,2017-07-03,160505,博时主题行业混合型证券投资基金,0.2
4,2017-07-03,050003,博时现金收益证券投资基金A级,0.4
4,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.4
4,2017-07-03,160505,博时主题行业混合型证券投资基金,0.2
5,2017-07-03,050003,博时现金收益证券投资基金A级,0.4
5,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.4
5,2017-07-03,160505,博时主题行业混合型证券投资基金,0.2
6,2017-07-03,050003,博时现金收益证券投资基金A级,0.4
6,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.4
6,2017-07-03,160505,博时主题行业混合型证券投资基金,0.2
7,2017-07-03,050003,博时现金收益证券投资基金A级,0.15
7,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.1
7,2017-07-03,160505,博时主题行业混合型证券投资基金,0.25
7,2017-07-03,000219,博时裕益灵活配置混合型证券投资基金,0.1
7,2017-07-03,050021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
7,2017-07-03,050018,博时行业轮动混合型证券投资基金,0.05
7,2017-07-03,050025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
8,2017-07-03,050003,博时现金收益证券投资基金A级,0.05
8,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.25
8,2017-07-03,160505,博时主题行业混合型证券投资基金,0.1
8,2017-07-03,000219,博时裕益灵活配置混合型证券投资基金,0.1
8,2017-07-03,050021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
8,2017-07-03,050018,博时行业轮动混合型证券投资基金,0.25
8,2017-07-03,050025,博时标普500交易型开放式指数证券投资基金联接基金,0.2
9,2017-07-03,050003,博时现金收益证券投资基金A级,0.05
9,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.25
9,2017-07-03,160505,博时主题行业混合型证券投资基金,0.1
9,2017-07-03,000219,博时裕益灵活配置混合型证券投资基金,0.1
9,2017-07-03,050021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
9,2017-07-03,050018,博时行业轮动混合型证券投资基金,0.25
9,2017-07-03,050025,博时标普500交易型开放式指数证券投资基金联接基金,0.2
10,2017-07-03,050003,博时现金收益证券投资基金A级,0.15
10,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.1
10,2017-07-03,160505,博时主题行业混合型证券投资基金,0.25
10,2017-07-03,000219,博时裕益灵活配置混合型证券投资基金,0.1
10,2017-07-03,050021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
10,2017-07-03,050018,博时行业轮动混合型证券投资基金,0.05
10,2017-07-03,050025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
11,2017-07-03,050003,博时现金收益证券投资基金A级,0.15
11,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.1
11,2017-07-03,160505,博时主题行业混合型证券投资基金,0.25
11,2017-07-03,000219,博时裕益灵活配置混合型证券投资基金,0.1
11,2017-07-03,050021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
11,2017-07-03,050018,博时行业轮动混合型证券投资基金,0.05
11,2017-07-03,050025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
12,2017-07-03,050003,博时现金收益证券投资基金A级,0.15
12,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.1
12,2017-07-03,160505,博时主题行业混合型证券投资基金,0.25
12,2017-07-03,000219,博时裕益灵活配置混合型证券投资基金,0.1
12,2017-07-03,050021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
12,2017-07-03,050018,博时行业轮动混合型证券投资基金,0.05
12,2017-07-03,050025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
13,2017-07-03,050003,博时现金收益证券投资基金A级,0.3
13,2017-07-03,000178,博时灵活配置混合型证券投资基金A类,0.35
13,2017-07-03,160505,博时主题行业混合型证券投资基金,0.15
13,2017-07-03,000219,博时裕益灵活配置混合型证券投资基金,0.05
13,2017-07-03,050021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
13,2017-07-03,050018,博时行业轮动混合型证券投资基金,0.05
13,2017-07-03,050025,博时标普500交易型开放式指数证券投资基金联接基金,0.05
